OriginAirportID,DestAirportID,Airline,OriginCityName,Distance,AirTime,Month
12264,11618,7,10,212,42.0,1
11066,13303,11,98,990,134.0,7
11298,10397,1,25,731,90.0,4
13198,13796,2,79,1489,199.0,6
13930,12953,1,11,733,,2
11259,10693,2,41,623,80.0,1
11278,12191,2,10,1218,193.0,2
15919,12953,11,46,1147,148.0,2
13930,10821,2,11,621,82.0,5
11618,14231,13,26,515,76.0,5
10990,11057,18,265,245,43.0,5
13930,10408,20,11,161,30.0,5
13303,14100,1,24,1013,133.0,2
12889,11433,3,3,1749,197.0,4
11057,12264,6,35,322,48.0,4
10397,12478,3,12,760,110.0,7
12544,14112,17,264,528,76.0,4
13204,12478,15,60,944,129.0,5
13342,11292,0,91,896,135.0,1
12264,13487,0,10,908,138.0,1
11292,13198,2,22,533,69.0,7
11292,13433,0,22,604,91.0,4
13871,11298,1,48,583,86.0,4
13796,11292,2,42,957,127.0,2
14831,14679,2,7,417,68.0,7
11637,11292,16,65,627,90.0,1
13487,14747,3,31,1399,194.0,7
11057,14747,1,35,2279,300.0,5
14869,14679,3,14,626,93.0,3
13232,11066,2,11,283,43.0,6
12478,13931,11,17,290,,4
14100,10397,3,74,666,,1
10185,12266,19,196,190,39.0,5
11697,14492,15,37,680,97.0,4
11298,11823,0,25,859,111.0,1
11618,11057,1,26,529,80.0,6
14747,12892,8,6,954,122.0,2
10721,11278,11,71,399,68.0,5
10721,14492,11,71,612,,2
13232,11057,2,11,584,100.0,5
14100,10529,18,74,196,38.0,3
11097,11292,0,92,391,60.0,4
12339,12478,9,77,665,102.0,4
12266,11433,0,61,1075,122.0,2
13930,12339,11,11,177,33.0,5
10397,11624,3,12,646,85.0,5
10397,11618,5,12,746,112.0,6
13204,11057,1,60,468,92.0,6
11066,12191,2,98,1001,135.0,6
14747,10849,8,6,543,77.0,7
14771,12889,0,27,414,70.0,5
11292,15370,19,22,541,76.0,6
13303,12953,1,24,1096,136.0,4
14107,11292,1,8,602,78.0,4
11638,12892,0,195,209,38.0,1
11042,10821,2,54,314,49.0,6
10397,10994,3,12,259,46.0,5
11066,15016,2,98,409,58.0,6
14683,12892,0,107,1211,176.0,3
10800,13796,2,123,325,49.0,3
10721,10397,3,71,946,147.0,4
12892,11057,1,2,2125,263.0,7
13487,12889,3,31,1299,152.0,3
11618,11057,1,26,529,80.0,6
14683,11540,2,107,496,84.0,3
12173,12889,2,81,2762,326.0,5
13204,11298,1,60,985,137.0,5
10529,12264,7,40,326,53.0,6
10821,14986,2,59,880,137.0,4
14321,11057,1,19,813,126.0,4
10397,11618,7,12,746,104.0,5
11278,12892,1,10,2311,297.0,6
11298,13830,1,25,3711,464.0,4
14747,11292,16,6,1024,129.0,6
14492,11618,7,23,416,71.0,5
13931,14100,6,101,212,41.0,1
13930,14100,1,11,678,86.0,6
14307,13204,2,126,1072,137.0,7
12889,14716,17,3,359,54.0,2
11618,11057,1,26,529,83.0,3
13342,10397,3,91,669,86.0,7
15016,15304,2,69,869,104.0,5
12953,14307,9,17,143,30.0,2
11013,11433,0,314,284,46.0,3
14869,11292,0,14,391,53.0,4
11042,12478,11,54,425,73.0,3
11150,10397,9,194,83,25.0,5
11905,11298,14,341,140,35.0,3
15304,11433,3,50,983,133.0,5
11953,11057,6,229,388,66.0,5
13851,14107,2,45,833,113.0,6
14679,13930,1,5,1723,208.0,7
14685,11057,6,58,213,52.0,2
14893,14747,0,96,605,95.0,6
11618,11193,13,26,569,90.0,1
13930,13487,3,11,334,60.0,7
10693,12478,9,20,765,113.0,6
14100,13204,5,74,861,124.0,7
14893,12954,2,96,387,59.0,6
12266,13158,7,61,429,62.0,7
11986,13930,20,146,137,30.0,6
12889,12954,2,3,231,44.0,6
13342,14100,18,91,690,89.0,1
12173,12982,4,81,102,21.0,3
11042,14635,16,54,1025,133.0,3
13495,15016,2,52,604,,2
11292,10140,2,22,349,55.0,1
13303,10721,3,24,1258,184.0,3
12953,12266,7,17,1416,193.0,5
10397,14783,3,12,563,84.0,4
11503,13930,0,232,1007,132.0,2
14679,13487,3,5,1532,187.0,7
10397,14122,3,12,526,73.0,7
11292,12266,7,22,862,108.0,4
12478,14492,9,17,427,83.0,2
13204,11292,2,60,1546,196.0,6
12945,13930,20,171,323,60.0,3
12339,11298,1,77,761,100.0,6
11057,10868,6,35,88,21.0,7
13204,12339,2,60,829,120.0,4
10397,13930,3,12,606,107.0,1
14107,13487,1,8,1276,170.0,3
12339,11057,1,77,427,62.0,7
12953,11057,1,17,544,76.0,5
13930,13487,7,11,334,59.0,7
15376,14679,2,64,368,54.0,6
11042,12266,7,54,1091,154.0,2
10397,11618,3,12,746,88.0,3
11057,11996,6,35,75,25.0,5
11292,12889,16,22,628,87.0,7
13342,12266,0,91,984,143.0,4
10713,14771,0,100,522,89.0,7
12953,11278,11,17,214,58.0,3
14492,10397,2,23,356,58.0,6
10397,14492,2,12,356,54.0,2
11267,12264,20,136,368,66.0,7
13930,14635,7,11,1120,142.0,5
14828,14747,8,313,861,115.0,6
10397,11618,3,12,746,113.0,5
12206,11298,14,63,461,70.0,2
15016,11278,2,69,719,89.0,7
14307,11278,6,126,356,73.0,2
13303,11433,3,24,1145,154.0,1
10800,14893,2,123,358,58.0,3
11433,14307,0,4,615,77.0,7
13930,10140,14,11,1118,153.0,3
10397,15027,3,12,1638,204.0,1
11193,12478,9,122,589,101.0,2
12889,13256,17,3,1210,136.0,4
11618,14492,7,26,416,63.0,3
11612,11057,18,241,414,64.0,6
15376,14004,12,64,1241,182.0,4
12191,12953,2,61,1428,205.0,5
11278,12953,1,10,214,47.0,7
10994,13930,14,99,760,117.0,5
11618,14057,7,26,2434,315.0,4
11278,11298,1,10,1192,177.0,3
14771,14747,0,27,679,98.0,4
11292,11697,5,22,1703,195.0,3
12889,11433,3,3,1749,214.0,1
13930,14685,11,11,773,113.0,5
12191,11697,2,61,957,114.0,4
14771,13204,7,27,2446,277.0,3
11953,10397,3,229,300,48.0,6
10397,11973,9,12,352,55.0,5
11433,10397,5,4,594,87.0,5
12012,11292,0,320,152,,1
13204,14869,3,60,1931,264.0,2
14492,14100,1,23,337,57.0,7
14679,13796,2,5,446,65.0,7
10397,14869,3,12,1590,205.0,6
14893,13891,2,96,390,56.0,4
14307,10821,2,126,327,57.0,1
11193,11278,9,122,411,64.0,3
11292,12278,2,22,420,57.0,3
11298,14683,1,25,247,43.0,2
13930,12945,0,11,323,49.0,6
14685,12478,15,58,718,98.0,3
11259,12992,2,41,296,43.0,2
13303,10693,1,24,806,114.0,1
14771,14908,0,27,372,65.0,3
11292,11884,7,22,836,114.0,3
13204,14307,16,60,1072,,1
12953,15096,9,17,198,43.0,2
12889,13930,1,3,1514,187.0,3
11292,10620,0,22,455,71.0,6
13931,11298,1,101,1212,164.0,5
11292,15016,2,22,770,92.0,4
14027,13930,1,86,1143,153.0,3
11298,10423,1,25,190,32.0,7
12892,10140,0,2,677,95.0,6
13342,11057,1,91,651,91.0,1
10423,15016,2,16,721,97.0,7
11298,14679,1,25,1171,168.0,1
11292,12266,7,22,862,102.0,1
10155,11298,14,226,89,30.0,4
14986,10397,3,55,444,69.0,2
12266,11298,10,61,224,44.0,1
14893,12889,2,96,397,61.0,7
13851,12889,2,45,986,127.0,7
12889,10140,2,3,486,61.0,2
14107,12892,1,8,370,57.0,4
12339,10423,17,77,919,129.0,1
11618,11697,7,26,1065,160.0,6
11278,10257,6,10,318,54.0,1
13577,12953,5,116,563,79.0,7
10721,11697,15,71,1237,166.0,5
13930,13342,20,11,67,15.0,2
11057,13230,6,35,413,61.0,2
14747,10299,8,6,1448,182.0,7
13303,11298,1,24,1121,154.0,6
11057,13795,6,35,191,37.0,7
11697,14107,15,37,1972,248.0,7
15370,11292,2,49,541,78.0,7
11298,14747,1,25,1660,226.0,5
13487,11278,6,31,931,115.0,6
15016,12264,13,69,696,94.0,4
10397,14027,3,12,545,79.0,3
15412,11057,6,1,177,32.0,3
11003,11298,10,90,685,108.0,5
11042,11292,7,54,1201,167.0,7
10693,11697,2,20,793,109.0,5
13264,11292,0,127,964,138.0,5
13303,13930,1,24,1197,195.0,6
10397,14831,3,12,2116,289.0,4
11433,14122,0,4,201,36.0,7
13487,13198,0,31,393,56.0,1
13495,14100,11,52,1089,143.0,3
13204,10821,5,60,787,107.0,6
13487,11884,3,31,1175,157.0,7
14771,11057,1,27,2296,260.0,4
13303,12266,1,24,964,130.0,6
11259,13204,2,41,973,132.0,3
11298,12191,0,25,247,48.0,4
10994,14747,8,99,2415,326.0,7
12478,11057,1,17,541,84.0,7
14122,10721,15,33,496,67.0,4
13830,12173,2,73,100,21.0,6
12191,11278,2,61,1218,132.0,1
11057,12124,11,35,207,38.0,5
11298,13303,1,25,1121,145.0,3
13303,13204,1,24,192,41.0,7
14771,14689,0,27,262,52.0,4
14252,14747,12,124,172,45.0,1
11057,10994,1,35,168,32.0,4
11278,12892,1,10,2311,281.0,6
11481,15016,2,104,634,94.0,5
12266,10599,0,61,562,85.0,5
13139,11057,18,44,175,41.0,2
11278,11433,3,10,405,82.0,5
14100,11267,6,74,477,86.0,2
12889,12892,0,3,236,44.0,6
11624,14112,17,231,238,48.0,4
11057,11292,16,35,1337,224.0,1
12892,11433,3,2,1979,239.0,4
14761,12223,17,75,665,88.0,4
10994,14100,6,99,550,90.0,5
13487,10721,3,31,1124,126.0,3
11433,14100,3,4,453,72.0,5
12889,11823,17,3,1649,182.0,3
10299,13970,8,161,548,73.0,7
10721,14576,18,71,343,56.0,6
14843,13204,2,28,1189,159.0,4
14576,11618,11,83,246,56.0,6
13930,10268,14,11,234,43.0,3
11193,11278,11,122,411,63.0,4
13303,13930,7,24,1197,167.0,6
12953,10693,5,17,764,143.0,1
14747,14893,8,6,605,74.0,5
11278,12478,11,10,213,48.0,4
13930,12892,1,11,1744,211.0,7
11057,11423,1,35,815,107.0,6
12892,13204,3,2,2218,249.0,1
12889,14679,2,3,258,46.0,3
13303,11618,7,24,1085,144.0,5
11278,15096,6,10,298,54.0,4
14570,12889,2,21,345,55.0,7
14771,14262,7,27,421,61.0,4
11292,12892,2,22,862,124.0,1
13487,11298,1,31,852,112.0,7
13930,15919,0,11,522,78.0,5
13930,14100,1,11,678,96.0,5
14122,12478,11,33,340,72.0,7
12339,11057,1,77,427,66.0,1
12266,10140,0,61,744,118.0,1
11618,14771,7,26,2565,315.0,7
10397,12451,3,12,270,41.0,5
13830,14107,1,73,2845,287.0,3
11540,10397,3,176,1282,165.0,7
11292,14237,0,22,557,80.0,2
11630,13487,3,184,2466,294.0,6
14107,14908,2,8,338,52.0,7
13204,14730,2,60,719,95.0,1
12266,15016,0,61,667,101.0,6
14492,12264,10,23,224,46.0,5
14057,11298,1,15,1616,177.0,4
11292,15016,0,22,770,101.0,1
12448,10397,9,119,341,48.0,2
11973,11298,0,248,500,82.0,5
13303,11292,1,24,1709,240.0,3
13487,13232,0,31,349,66.0,4
10994,10693,2,99,439,66.0,5
13495,12191,2,52,302,53.0,3
11146,11057,6,287,221,41.0,1
12478,14908,1,17,2454,366.0,2
14771,11292,7,27,967,167.0,6
15016,13198,2,69,237,48.0,5
11503,13930,0,232,1007,131.0,2
14492,12953,3,23,431,64.0,4
12892,12478,1,2,2475,295.0,6
14843,13303,1,28,1045,139.0,4
10747,12266,19,216,308,57.0,3
12478,12892,15,17,2475,335.0,6
10140,12892,2,150,677,93.0,1
12892,11618,15,2,2454,284.0,3
13487,14057,3,31,1426,212.0,7
10423,14908,17,16,1209,173.0,5
11278,11618,13,10,199,43.0,6
10397,11057,3,12,226,43.0,5
11057,15304,1,35,507,81.0,4
11292,13487,7,22,680,89.0,7
12266,13204,5,61,854,110.0,4
13303,13204,1,24,192,36.0,7
11298,14908,1,25,1205,,2
14107,15376,0,8,110,24.0,7
10423,11540,2,16,528,73.0,5
13930,11057,1,11,599,81.0,6
15070,14492,16,266,463,70.0,6
11278,11298,1,10,1192,165.0,4
10721,13204,15,71,1121,155.0,3
10397,13931,3,12,516,70.0,6
13198,11618,7,79,1092,128.0,1
12191,12889,2,61,1235,174.0,5
14107,14747,1,8,1107,143.0,5
11298,14908,1,25,1205,157.0,6
14027,10529,15,86,1133,151.0,5
11278,10397,11,10,547,87.0,3
12892,13830,8,2,2486,318.0,2
11697,10529,15,37,1173,145.0,1
14685,12191,2,58,853,122.0,6
10868,12264,20,139,401,59.0,7
14831,12892,2,7,308,52.0,4
12954,13796,2,130,353,,1
11292,14730,7,22,1024,126.0,7
13198,13232,2,79,405,56.0,4
12323,14100,18,199,413,73.0,6
14683,10821,2,107,1407,187.0,7
11278,10693,11,10,562,104.0,2
10397,13303,3,12,594,85.0,7
13930,12953,1,11,733,90.0,3
13487,13486,3,31,1013,147.0,6
11292,13303,2,22,1709,,1
11057,15249,6,35,386,58.0,1
13204,11618,15,60,937,134.0,3
10821,14986,2,59,880,145.0,2
10994,11697,15,99,470,68.0,6
10599,11259,2,97,587,85.0,7
10721,14524,9,71,474,85.0,5
14771,14487,0,27,199,34.0,5
11298,13871,14,25,583,86.0,4
14893,14747,3,96,605,84.0,7
11292,13487,7,22,680,83.0,1
11697,14492,3,37,680,99.0,4
